recipes_original_name,category
Sambal Goreng Kering,LAUK PAUK GORENGAN
Tempe,LAUK PAUK GORENGAN
Seng Geseng,LAUK PAUK GORENGAN
Serundeng,LAUK PAUK GORENGAN
Serundeng Ikan Mudjair,LAUK PAUK GORENGAN
Serundeng Ikan Teri,LAUK PAUK GORENGAN
Serundeng Penganten,LAUK PAUK GORENGAN
Sinore,LAUK PAUK GORENGAN
Tahu Batjem Goreng,LAUK PAUK GORENGAN
Tahu Berontak,LAUK PAUK GORENGAN
Tahu Dadar,LAUK PAUK GORENGAN
Tahu Goling,LAUK PAUK GORENGAN
Tahu Goreng,LAUK PAUK GORENGAN
Tahu Goreng Bertepung,LAUK PAUK GORENGAN
Tahu Kering,LAUK PAUK GORENGAN
Tahu Ketjap,LAUK PAUK GORENGAN
Tahu Krida,LAUK PAUK GORENGAN
Tahu Lengko,LAUK PAUK GORENGAN
Tahu Masak Bawang,LAUK PAUK GORENGAN
Tahu Pong,LAUK PAUK GORENGAN
Tahu Soun,LAUK PAUK GORENGAN
Tahu Telur,LAUK PAUK GORENGAN
Tahu Tempe dan Daging Goreng,LAUK PAUK GORENGAN
Taotjo Ikan,LAUK PAUK GORENGAN
Tempe Batjem,LAUK PAUK GORENGAN
Tempe Goreng,LAUK PAUK GORENGAN
Tempe Kemul,LAUK PAUK GORENGAN
Telur Mata Sapi,LAUK PAUK GORENGAN
Tepleng Ikan Kering,LAUK PAUK GORENGAN
Teri Goreng,LAUK PAUK GORENGAN
Tjulo Tjulo,LAUK PAUK GORENGAN
Udang Isi,LAUK PAUK GORENGAN
Udang Wotjap,LAUK PAUK GORENGAN
Ujah Goreng,LAUK PAUK GORENGAN
Urutan,LAUK PAUK GORENGAN
Ajam Kodok,LAUK PAUK BAKAR
Ajam Panggang Sere Limo,LAUK PAUK BAKAR
Ajam Panggang Ketjap,LAUK PAUK BAKAR
Ajam Panggang Klaten,LAUK PAUK BAKAR
Ajam Panggang Petjel,LAUK PAUK BAKAR
Ajam Sapit,LAUK PAUK BAKAR
Bandasi,LAUK PAUK BAKAR
Bandeng Bumbu Rudjak,LAUK PAUK BAKAR
Bebek Asap,LAUK PAUK BAKAR
Bia,LAUK PAUK BAKAR
Daging Bakar,LAUK PAUK BAKAR
Djagung Djamur Padi Bakar,LAUK PAUK BAKAR
Djagung Udang Panggang,LAUK PAUK BAKAR
Gedjos Ontjom,LAUK PAUK BAKAR
Gembrot Sembukan,LAUK PAUK BAKAR
Guling,LAUK PAUK BAKAR
Ikan Bakar,LAUK PAUK BAKAR
Ikan Bungkus,LAUK PAUK BAKAR
Ikan Mas dalam Bambu,LAUK PAUK BAKAR
Ikan Pindang Goreng,LAUK PAUK BAKAR
Ikan Pepes,LAUK PAUK BAKAR
Ikan Woku,LAUK PAUK BAKAR
Ine Avau' Au,LAUK PAUK BAKAR
Ituwu,LAUK PAUK BAKAR
Jok,LAUK PAUK BAKAR
Karmanatji,LAUK PAUK BAKAR
Komoh,LAUK PAUK BAKAR
Langga Roko,LAUK PAUK BAKAR
Linting Pepes,LAUK PAUK BAKAR
Napinadar,LAUK PAUK BAKAR
Natinombur,LAUK PAUK BAKAR
Palai Badar Basah,LAUK PAUK BAKAR
Panggang Bandeng,LAUK PAUK BAKAR
Panggang Bebek Bumbu Rudjak,LAUK PAUK BAKAR
Panggang Belanak Bumbu Rudjak,LAUK PAUK BAKAR
Panggang Kalak,LAUK PAUK BAKAR
Panggang Udang,LAUK PAUK BAKAR
Patjua,LAUK PAUK BAKAR
Pelalah Manuk,LAUK PAUK BAKAR
Kampalo,DJADJANAN
Kapurung,DJADJANAN
Kararabah,DJADJANAN
Katemel,DJADJANAN
Katjang Asin,DJADJANAN
Katjang Atom,DJADJANAN
Katjang Bawang,DJADJANAN
Katjepit Mandi,DJADJANAN
Kejabu,DJADJANAN
Kekiping,DJADJANAN
Kelatak,DJADJANAN
Kelepon,DJADJANAN
Kelepon Singkong,DJADJANAN
Kelepon Ubi Djalar,DJADJANAN
Kelesong,DJADJANAN
Kelentji Si Upik,DJADJANAN
Kembang Gempol,DJADJANAN
Kembang Olang,DJADJANAN
Kembang Patjar,DJADJANAN
Kemplang,DJADJANAN
Keripik Singkong,DJADJANAN
Ketak,DJADJANAN
Ketan Goreng Pisang,DJADJANAN
Ketan Srikaja,DJADJANAN
Ketela Kurma,DJADJANAN
Ketjok Ketan,DJADJANAN
Ketjiput,DJADJANAN
Ketoprak,DJADJANAN
Ketupat Ketan,DJADJANAN
Keladan (Lidah Kuda),DJADJANAN
Klenjem,DJADJANAN
Kletji,DJADJANAN
Kluring,DJADJANAN
Kluwo Singkong,DJADJANAN
Kokole,DJADJANAN
Kolak,DJADJANAN
Kolak Kolang Kaling,DJADJANAN
Kolak Kopur,DJADJANAN
Kolak Labu Merah,DJADJANAN
Kolak Talas,DJADJANAN
Kolak Ubi Djalar,DJADJANAN
Krakeling Bandeng,DJADJANAN
Krasikan,DJADJANAN
Krawon Tjiantel,DJADJANAN
Kroket Djagung,DJADJANAN
Kroket Tempe,DJADJANAN
Krupuk Babi,DJADJANAN
Krupuk Benhur,DJADJANAN
Krupuk Gadung,DJADJANAN
Krupuk Gurih,DJADJANAN
Krupuk Kadarijah,DJADJANAN
Kue Adas,DJADJANAN
Kue Ku,DJADJANAN
Kue Ambon,DJADJANAN
Kue Aneka Rupa,DJADJANAN
Kue Apam Sailan,DJADJANAN
Kue Arai Pinang,DJADJANAN
Kue Asia,DJADJANAN
Kue Asin,DJADJANAN
Kue Bawang,DJADJANAN
Kue Bangket,DJADJANAN
Kue Basung,DJADJANAN
Kue Batang Pohon,DJADJANAN
Kue Bidji Bidji,DJADJANAN
Kue Bidji Nangka,DJADJANAN
Kue Bolu Kukus,DJADJANAN
Kue Buah'an dengan Vla,DJADJANAN
Kue Bunga Mai,DJADJANAN
Kue Chasidah,DJADJANAN
Kue Dadar,DJADJANAN
Kue Daun Daun,DJADJANAN
Kue Delapan Djam,DJADJANAN
Kue Djagung,DJADJANAN
Kue Djae,DJADJANAN
Kue Don,DJADJANAN
Kue Dwiwarna,DJADJANAN
Kue Es Paes,DJADJANAN
Kue Gandus,DJADJANAN
Kue Gapit,DJADJANAN
Kue Gelang,DJADJANAN
Kue Gemblong Kitjak,DJADJANAN
Kue Getas,DJADJANAN
Kue Gula Katjang,DJADJANAN
Kue Gulung,DJADJANAN
Kue Gundjing,DJADJANAN
Kue Havermout,DJADJANAN
Kue Inah,DJADJANAN
Kue Inang Grondol,DJADJANAN
Kue Irian,DJADJANAN
Kue Karang,DJADJANAN
Kue Karud,DJADJANAN
Kue Katen,DJADJANAN
Kue Katjamata,DJADJANAN
Kue Kekok,DJADJANAN
Kue Kelapa,DJADJANAN
Kue Kelapa Parut,DJADJANAN
Kue Kembang Gojang,DJADJANAN
Kue Kenari,DJADJANAN
Kue Kentang,DJADJANAN
Kue Kerak Kering,DJADJANAN
Kue Kering Djagung,DJADJANAN
Kue Ku Ketela,DJADJANAN
Kue Kotji,DJADJANAN
Kue Kulit Kapas,DJADJANAN
Kue Kulit Matjan Tutul,DJADJANAN
Kue Ladu,DJADJANAN
Kue Lampu,DJADJANAN
Kue Lapis,DJADJANAN
Kue Lengkitang,DJADJANAN
Kue Lidah Kutjing,DJADJANAN
Kue Lilin,DJADJANAN
Kue Lopis Djagung,DJADJANAN
Kue Lumpang,DJADJANAN
Kue Lumpur,DJADJANAN
Kue Lunak Lembut,DJADJANAN
Kue Madu Kasirat,DJADJANAN
Kue Mandala,DJADJANAN
Kue Mangkok,DJADJANAN
Kue Marhaen,DJADJANAN
Kue Mata Roda,DJADJANAN
Kue Mendut,DJADJANAN
Kue Mote,DJADJANAN
Kue Nanas,DJADJANAN
Kue Ojong,DJADJANAN
Kue Pakis Beras,DJADJANAN
Kue Panggang Beras,DJADJANAN
Kue Panili,DJADJANAN
Kue Pare,DJADJANAN
Kue Paria,DJADJANAN
Kue Pelangi,DJADJANAN
Kue Pentol,DJADJANAN
Kue Pepe,DJADJANAN
Kue Pilus,DJADJANAN
Kue Pisang,DJADJANAN
Kue Pudak,DJADJANAN
Kue Putu,DJADJANAN
Kue Rinta,DJADJANAN
Kue Rokok Rokok,DJADJANAN
Kue Rodangi,DJADJANAN
Kue Sadu,DJADJANAN
Kue Sapanjana,DJADJANAN
Kue Sakura,DJADJANAN
Kue Sangko,DJADJANAN
Kue Satelit,DJADJANAN
Kue Semprit,DJADJANAN
Kue Sengkulun,DJADJANAN
Kue Serabi Berkuah,DJADJANAN
Kue Siput Siput,DJADJANAN
Kue Sirna,DJADJANAN
Kue Sitrun,DJADJANAN
Kue Sumping,DJADJANAN
Kue Suri,DJADJANAN
Kue Sus,DJADJANAN
Kue Sus Keras,DJADJANAN
Kue Talam,DJADJANAN
Kue Talam Djagung,DJADJANAN
Kue Talam Kentang,DJADJANAN
Kue Talam Serikaja,DJADJANAN
Kue Talam Ubi Djalår,DJADJANAN
Kue Tar,DJADJANAN
Dadar Tahu Saus Tomat,LAUK PAUK GORENGAN
Daging Goreng Ketjap,LAUK PAUK GORENGAN
Dangke,LAUK PAUK GORENGAN
Dendeng Ragi,LAUK PAUK GORENGAN
Dendeng Balado,LAUK PAUK GORENGAN
Djuku Kambu,LAUK PAUK GORENGAN
Empal Pedas,LAUK PAUK GORENGAN
Ento Ento,LAUK PAUK GORENGAN
Gegepuk,LAUK PAUK GORENGAN
Gepukan Daging,LAUK PAUK GORENGAN
Gimbal Udang,LAUK PAUK GORENGAN
Goreng Basah Usus dan Babat,LAUK PAUK GORENGAN
Goreng Djagung Isi Selada,LAUK PAUK GORENGAN
Goreng Otak,LAUK PAUK GORENGAN
Goreng Perut Kambing,LAUK PAUK GORENGAN
Goreng Udang Kering,LAUK PAUK GORENGAN
Gorengan Udang Metro,LAUK PAUK GORENGAN
Gurami Bumbu Ketjap,LAUK PAUK GORENGAN
Gurami Goreng Saus Tomat,LAUK PAUK GORENGAN
Ikan Kambu,LAUK PAUK GORENGAN
Ikan Kodok,LAUK PAUK GORENGAN
Ikan Saos Tomat,LAUK PAUK GORENGAN
Ikan Tjoan Tjoan,LAUK PAUK GORENGAN
Ikan Tjuka Kering,LAUK PAUK GORENGAN
Kakap Goreng,LAUK PAUK GORENGAN
Kat Li Hie,LAUK PAUK GORENGAN
Kepiting Goreng,LAUK PAUK GORENGAN
Kering Ikan Tjumi Tjumi,LAUK PAUK GORENGAN
Keripik Bajam,LAUK PAUK GORENGAN
Keripik Tempe,LAUK PAUK GORENGAN
Krupuk Kulit,LAUK PAUK GORENGAN
Lele Siram Lombok,LAUK PAUK GORENGAN
Lengko Lengko,LAUK PAUK GORENGAN
Lento,LAUK PAUK GORENGAN
Lento Kedele,LAUK PAUK GORENGAN
Mendoan Tempe,LAUK PAUK GORENGAN
Mendjeng Tempe,LAUK PAUK GORENGAN
Mireng Udang,LAUK PAUK GORENGAN
Miswa Ajam,LAUK PAUK GORENGAN
Muarah Labu Air,LAUK PAUK GORENGAN
Mugalgal,LAUK PAUK GORENGAN
Naginatgat,LAUK PAUK GORENGAN
Ondol Ondol Teri,LAUK PAUK GORENGAN
Ontjom Goreng,LAUK PAUK GORENGAN
Otak Udang,LAUK PAUK GORENGAN
Paru Goreng,LAUK PAUK GORENGAN
Pepenjon,LAUK PAUK GORENGAN
Perkedel,LAUK PAUK GORENGAN
Perkedel Bakar,LAUK PAUK GORENGAN
Perkedel Beras Djagung,LAUK PAUK GORENGAN
Perkedel Bungkus Daun Singkong,LAUK PAUK GORENGAN
Perkedel Daging,LAUK PAUK GORENGAN
Perkedel Djagung,LAUK PAUK GORENGAN
Perkedel Goreng,LAUK PAUK GORENGAN
Perkedel Kimpul,LAUK PAUK GORENGAN
Perkedel Lombok Merah Tomat,LAUK PAUK GORENGAN
Perkedel Masam,LAUK PAUK GORENGAN
Perkedel Radjungan,LAUK PAUK GORENGAN
Perkedel Surabaja,LAUK PAUK GORENGAN
Perkedel Tahu,LAUK PAUK GORENGAN
Perkedel Talas,LAUK PAUK GORENGAN
Perkedel Tempe,LAUK PAUK GORENGAN
Perkedel Tomat,LAUK PAUK GORENGAN
Pupuk,LAUK PAUK GORENGAN
Rempah Kelapa Muda,LAUK PAUK GORENGAN
Rempah Randjungan,LAUK PAUK GORENGAN
Rempejek Katjang,LAUK PAUK GORENGAN
Rempejek Teri,LAUK PAUK GORENGAN
Rendang,LAUK PAUK GORENGAN
Rendang Daun Singkong,LAUK PAUK GORENGAN
Rendang Djengkol,LAUK PAUK GORENGAN
Rendang Minang,LAUK PAUK GORENGAN
Rendang Telur,LAUK PAUK GORENGAN
Salak Lauk,LAUK PAUK GORENGAN
Sambal Goreng Kering Ajam,LAUK PAUK GORENGAN
Kue Tar Susu,DJADJANAN
Kue Telur,DJADJANAN
Kue Telur Gabus,DJADJANAN
Kue Tepung Tapioka,DJADJANAN
Kue Terputar,DJADJANAN
Kue Tjendawan,DJADJANAN
Kue Tjintjin,DJADJANAN
Kue Tjutjur,DJADJANAN
Kue Tobuu,DJADJANAN
Kue Tumbeg,DJADJANAN
Kue Ular,DJADJANAN
Kue Wina Keras,DJADJANAN
Kue Woku Woku,DJADJANAN
Kumis,DJADJANAN
Kuping Gadjah,DJADJANAN
Kuping Tikus,DJADJANAN
Ladrang Tepung Ubi,DJADJANAN
Lapek Kembang,DJADJANAN
Lapek Sagan,DJADJANAN
Lapis Sanduk,DJADJANAN
Lapis Singkong,DJADJANAN
Lapis Susu,DJADJANAN
Las Elas,DJADJANAN
Legese,DJADJANAN
Lemeng,DJADJANAN
Lemet,DJADJANAN
Lempai,DJADJANAN
Lemet Tepung Djagung,DJADJANAN
Lemang Ketan,DJADJANAN
Lemper,DJADJANAN
Lemper Aron,DJADJANAN
Lemper Djagung Muda,DJADJANAN
Lemper Menado,DJADJANAN
Lempog,DJADJANAN
Len Olen,DJADJANAN
Lentis,DJADJANAN
Lentuk,DJADJANAN
Lepa Djagung,DJADJANAN
Lepet,DJADJANAN
Lepet Bugis,DJADJANAN
Leta,DJADJANAN
Lidah Kalo,DJADJANAN
Likak Likuk,DJADJANAN
Lingkaran Bunga,DJADJANAN
Lolise,DJADJANAN
Lompong Sagu,DJADJANAN
Londo Londo,DJADJANAN
Lonon,DJADJANAN
Lopis,DJADJANAN
Lopis Singkong,DJADJANAN
Lotek,DJADJANAN
Lumpia Singkong,DJADJANAN
Manan Sjahmin,DJADJANAN
Mantjo,DJADJANAN
Martabak,DJADJANAN
Martabak Djagung,DJADJANAN
Masubah,DJADJANAN
Masupa,DJADJANAN
Mata Sapi,DJADJANAN
Mendut Singkong,DJADJANAN
Meniran,DJADJANAN
Mento,DJADJANAN
Minjolos,DJADJANAN
Mihun Goreng,DJADJANAN
Model,DJADJANAN
Nabinolgang (Nabibi),DJADJANAN
Nagasari,DJADJANAN
Nangka Susu Merah,DJADJANAN
Nangka Susu Putih,DJADJANAN
Nanitipa,DJADJANAN
Nasi Djaba,DJADJANAN
Nasi Lamak,DJADJANAN
Nasi Pandat,DJADJANAN
Nasi Tuai,DJADJANAN
Njanak Uli,DJADJANAN
Noga,DJADJANAN
Noga Katjang,DJADJANAN
Nomsing,DJADJANAN
Olet,DJADJANAN
Oli Djepret,DJADJANAN
Botok Djagung Pakai Peda,LAUK PAUK BASAH TIDAK BERKUAH
Botok Djamur Gigit,LAUK PAUK BASAH TIDAK BERKUAH
Botok Djamur Pajung,LAUK PAUK BASAH TIDAK BERKUAH
Botok Juju,LAUK PAUK BASAH TIDAK BERKUAH
Botok Katak,LAUK PAUK BASAH TIDAK BERKUAH
Botok Kedele Hitam,LAUK PAUK BASAH TIDAK BERKUAH
Botok Kelapa Muda,LAUK PAUK BASAH TIDAK BERKUAH
Botok Lompong,LAUK PAUK BASAH TIDAK BERKUAH
Botok Lireh,LAUK PAUK BASAH TIDAK BERKUAH
Botok Mangut,LAUK PAUK BASAH TIDAK BERKUAH
Botok Mlandingan,LAUK PAUK BASAH TIDAK BERKUAH
Botok Peda,LAUK PAUK BASAH TIDAK BERKUAH
Botok Putren,LAUK PAUK BASAH TIDAK BERKUAH
Bulung Garikan,LAUK PAUK BASAH TIDAK BERKUAH
Bumbu Ares,LAUK PAUK BASAH TIDAK BERKUAH
Bumbu Djukut Daun Belimbing,LAUK PAUK BASAH TIDAK BERKUAH
Bumbu Lawar,LAUK PAUK BASAH TIDAK BERKUAH
Bumbu Rudjak,LAUK PAUK BASAH TIDAK BERKUAH
Bumbu Rudjak Pepaja Muda,LAUK PAUK BASAH TIDAK BERKUAH
Bumbu Rudjak Tahu,LAUK PAUK BASAH TIDAK BERKUAH
Bumbu Rudjak Tjamput,LAUK PAUK BASAH TIDAK BERKUAH
Bundu Ajam,LAUK PAUK BASAH TIDAK BERKUAH
Bundu Daging,LAUK PAUK BASAH TIDAK BERKUAH
Bundu Makassar,LAUK PAUK BASAH TIDAK BERKUAH
Bungkusan Tahu,LAUK PAUK BASAH TIDAK BERKUAH
Buntil,LAUK PAUK BASAH TIDAK BERKUAH
Buntil Berkuah,LAUK PAUK BASAH TIDAK BERKUAH
Buntil Danawarih,LAUK PAUK BASAH TIDAK BERKUAH
Cotelet,LAUK PAUK BASAH TIDAK BERKUAH
Conrivilet,LAUK PAUK BASAH TIDAK BERKUAH
Dabu Dabu Sesi,LAUK PAUK BASAH TIDAK BERKUAH
Daging Babi Masak Tomat,LAUK PAUK BASAH TIDAK BERKUAH
Daging Bumbu Bali,LAUK PAUK BASAH TIDAK BERKUAH
Daging Bumbu Serapah,LAUK PAUK BASAH TIDAK BERKUAH
Daging Belatjang,LAUK PAUK BASAH TIDAK BERKUAH
Daging Kukus,LAUK PAUK BASAH TIDAK BERKUAH
Daging Masak Atjeh,LAUK PAUK BASAH TIDAK BERKUAH
Daging Tjintjang Kukus,LAUK PAUK BASAH TIDAK BERKUAH
Daltja,LAUK PAUK BASAH TIDAK BERKUAH
Dendeng Ketjap,LAUK PAUK BASAH TIDAK BERKUAH
Dendeng Kelem Daging,LAUK PAUK BASAH TIDAK BERKUAH
Dengke Laean,LAUK PAUK BASAH TIDAK BERKUAH
Djagung dan Buntjis,LAUK PAUK BASAH TIDAK BERKUAH
Djagung dan Lombok Merah,LAUK PAUK BASAH TIDAK BERKUAH
Djan Hi Tjah,LAUK PAUK BASAH TIDAK BERKUAH
Ebatan,LAUK PAUK BASAH TIDAK BERKUAH
Embes Embes Dages,LAUK PAUK BASAH TIDAK BERKUAH
Entek Entek Dages,LAUK PAUK BASAH TIDAK BERKUAH
Gadon,LAUK PAUK BASAH TIDAK BERKUAH
Gadon Daging,LAUK PAUK BASAH TIDAK BERKUAH
Gadon Tahu,LAUK PAUK BASAH TIDAK BERKUAH
Gagape,LAUK PAUK BASAH TIDAK BERKUAH
Gagape Ajam,LAUK PAUK BASAH TIDAK BERKUAH
Gangsa,LAUK PAUK BASAH TIDAK BERKUAH
Gangsa Asam,LAUK PAUK BASAH TIDAK BERKUAH
Gano,LAUK PAUK BASAH TIDAK BERKUAH
Gantalan,LAUK PAUK BASAH TIDAK BERKUAH
Garang Asam (Bali),LAUK PAUK BASAH TIDAK BERKUAH
Garang Asam (Pati),LAUK PAUK BASAH TIDAK BERKUAH
Garang Asam Buntjis,LAUK PAUK BASAH TIDAK BERKUAH
Getjok,LAUK PAUK BASAH TIDAK BERKUAH
Gudeg,LAUK PAUK BASAH TIDAK BERKUAH
Gudeg Daun Singkong,LAUK PAUK BASAH TIDAK BERKUAH
Gudeg Kol Hidjau,LAUK PAUK BASAH TIDAK BERKUAH
Gudeg Manggar,LAUK PAUK BASAH TIDAK BERKUAH
Gudeg Nangka Muda,LAUK PAUK BASAH TIDAK BERKUAH
Gudeg Pisang Batu,LAUK PAUK BASAH TIDAK BERKUAH
Gudeg Pondoh,LAUK PAUK BASAH TIDAK BERKUAH
Hee Dji Kee,LAUK PAUK BASAH TIDAK BERKUAH
Hee Hie Wee,LAUK PAUK BASAH TIDAK BERKUAH
Ikan Bumbu Bali,LAUK PAUK BASAH TIDAK BERKUAH
Ikan Dalam Kerang,LAUK PAUK BASAH TIDAK BERKUAH
Ikan Ditapa,LAUK PAUK BASAH TIDAK BERKUAH
Ikan Gulung Saos Udang,LAUK PAUK BASAH TIDAK BERKUAH
Ikan Hahiru,LAUK PAUK BASAH TIDAK BERKUAH
Gulai Birah,LAUK PAUK BASAH - BERKUAH
Gulai Daun Singkong,LAUK PAUK BASAH - BERKUAH
Gulai Daun Ubi Tumbuk,LAUK PAUK BASAH - BERKUAH
Gulai Ekor Sapi,LAUK PAUK BASAH - BERKUAH
Gulai Ikan Tongkol,LAUK PAUK BASAH - BERKUAH
Gulai Kantjah,LAUK PAUK BASAH - BERKUAH
