recipes_original_name,category
Tjah Djuhi,LAUK PAUK BASAH TIDAK BERKUAH
Tjah Hati Babi,LAUK PAUK BASAH TIDAK BERKUAH
Tjah Kangkung,LAUK PAUK BASAH TIDAK BERKUAH
Tjah Sajur Asin,LAUK PAUK BASAH TIDAK BERKUAH
Tjah Daging,LAUK PAUK BASAH TIDAK BERKUAH
Tjap Tjai Daun Sawi,LAUK PAUK BASAH TIDAK BERKUAH
Tjap Tjai Tjah,LAUK PAUK BASAH TIDAK BERKUAH
Tjemeding,LAUK PAUK BASAH TIDAK BERKUAH
Tjay Siem Tjah,LAUK PAUK BASAH TIDAK BERKUAH
Tjili Djagung,LAUK PAUK BASAH TIDAK BERKUAH
Tjoan Tjoan,LAUK PAUK BASAH TIDAK BERKUAH
Tjorpot,LAUK PAUK BASAH TIDAK BERKUAH
Tollo Pamarasan,LAUK PAUK BASAH TIDAK BERKUAH
Tomat Isi Djagung Muda,LAUK PAUK BASAH TIDAK BERKUAH
Tum Ajam,LAUK PAUK BASAH TIDAK BERKUAH
Tum Daging,LAUK PAUK BASAH TIDAK BERKUAH
Tumis Bajam dan Djagung Muda,LAUK PAUK BASAH TIDAK BERKUAH
Tumis Bunga Durian,LAUK PAUK BASAH TIDAK BERKUAH
Tumis Buntjis,LAUK PAUK BASAH TIDAK BERKUAH
Tumis Djagung Lombok Hidjau,LAUK PAUK BASAH TIDAK BERKUAH
Tumis Ikan,LAUK PAUK BASAH TIDAK BERKUAH
Tumis Kangkung,LAUK PAUK BASAH TIDAK BERKUAH
Tumis Katjang Putih,LAUK PAUK BASAH TIDAK BERKUAH
Tumis Kol,LAUK PAUK BASAH TIDAK BERKUAH
Tumis Laman,LAUK PAUK BASAH TIDAK BERKUAH
Tumis Nus,LAUK PAUK BASAH TIDAK BERKUAH
Tumis Ojong,LAUK PAUK BASAH TIDAK BERKUAH
Tumis Pindang,LAUK PAUK BASAH TIDAK BERKUAH
Tumis Santan Ganemu,LAUK PAUK BASAH TIDAK BERKUAH
Tumis Taoge,LAUK PAUK BASAH TIDAK BERKUAH
Tumis Taoge dan Ojong,LAUK PAUK BASAH TIDAK BERKUAH
Tumis Tahu dengan Sawi,LAUK PAUK BASAH TIDAK BERKUAH
Tumis Tahu Tangi,LAUK PAUK BASAH TIDAK BERKUAH
Tumis Tempojak,LAUK PAUK BASAH TIDAK BERKUAH
Tumis Terasi,LAUK PAUK BASAH TIDAK BERKUAH
Tumis Udang,LAUK PAUK BASAH TIDAK BERKUAH
Tumpang,LAUK PAUK BASAH TIDAK BERKUAH
Ulang Ulang,LAUK PAUK BASAH TIDAK BERKUAH
Ungker Ungker,LAUK PAUK BASAH TIDAK BERKUAH
Untup Untup,LAUK PAUK BASAH TIDAK BERKUAH
Urap,LAUK PAUK BASAH TIDAK BERKUAH
Urap Daun Kentjur,LAUK PAUK BASAH TIDAK BERKUAH
Urap Daun Mengkudu,LAUK PAUK BASAH TIDAK BERKUAH
Urap Djagung Muda,LAUK PAUK BASAH TIDAK BERKUAH
Urap Engos Engos,LAUK PAUK BASAH TIDAK BERKUAH
Utan Tuktuk,LAUK PAUK BASAH TIDAK BERKUAH
Waluh Djipang Bumbu Mi,LAUK PAUK BASAH TIDAK BERKUAH
Warva Au,LAUK PAUK BASAH TIDAK BERKUAH
Abon Bebek,LAUK PAUK GORENGAN
Abon Gurami,LAUK PAUK GORENGAN
Abon Kembang Djengger,LAUK PAUK GORENGAN
Abon Peda,LAUK PAUK GORENGAN
Ajam Berek,LAUK PAUK GORENGAN
Ajam Goreng,LAUK PAUK GORENGAN
Ajam Tjintjane,LAUK PAUK GORENGAN
Badjabu Bale,LAUK PAUK GORENGAN
Bakwan Djagung,LAUK PAUK GORENGAN
Bakwan Tahu,LAUK PAUK GORENGAN
Bekasem,LAUK PAUK GORENGAN
Bilitango,LAUK PAUK GORENGAN
Dadar Isi,LAUK PAUK GORENGAN
Dadar Kelapa Muda,LAUK PAUK GORENGAN
Dadar Tahu,LAUK PAUK GORENGAN
Bolu Lapis,DJADJANAN
Bolu Mutiara,DJADJANAN
Bongko,DJADJANAN
Bongko Gude,DJADJANAN
Bongko Katjang Tolo,DJADJANAN
Bongko Menir,DJADJANAN
Bongko Pisang,DJADJANAN
Bongko Tjundjuk,DJADJANAN
Boterletter,DJADJANAN
Bubua Samba,DJADJANAN
Bubur Aron,DJADJANAN
Bubur Bekatul Djagung,DJADJANAN
Bubur Delima,DJADJANAN
Bubur Djagung Muda,DJADJANAN
Bubur Gampang Enak,DJADJANAN
Bubur Grendul,DJADJANAN
Bubur Gurih,DJADJANAN
Bubur Katjang Hidjau,DJADJANAN
Bubur Katjang Hidjau (Samarinda),DJADJANAN
Bubur Menir Djagung,DJADJANAN
Bubur Nira,DJADJANAN
Bubur Protjot,DJADJANAN
Bubur Sagu,DJADJANAN
Bubur Sagu Rangi,DJADJANAN
Bubur Samarinda,DJADJANAN
Bubur Saren,DJADJANAN
Bubur Sehat,DJADJANAN
Bubur Tepung Djagung,DJADJANAN
Bubur Tjandil,DJADJANAN
Bugis Singkong,DJADJANAN
Bugis Ubi,DJADJANAN
Bunga Dahlia,DJADJANAN
Bunga Kerang,DJADJANAN
Buras,DJADJANAN
Bungkul,DJADJANAN
Burangasa,DJADJANAN
Bustana Djagung,DJADJANAN
Cake,DJADJANAN
Cake Djahe,DJADJANAN
Cake Djagung,DJADJANAN
Cake Marmer,DJADJANAN
Cake Nenas,DJADJANAN
Cake Singkong,DJADJANAN
Caramel Vla,DJADJANAN
Chateau De Sumatera,DJADJANAN
Champurado,DJADJANAN
Chilaquiles,DJADJANAN
Dadar Beras Ketan,DJADJANAN
Dadar Djagung,DJADJANAN
Dadar Singkong,DJADJANAN
Dadiah,DJADJANAN
Dembaran,DJADJANAN
Demplo Djagung,DJADJANAN
Djadah,DJADJANAN
Djadja Bantal,DJADJANAN
Djadja Kining,DJADJANAN
Djadja Sabun,DJADJANAN
Djadja Tali Reta,DJADJANAN
Djagung Bakar,DJADJANAN
Djedjorong,DJADJANAN
Djenang,DJADJANAN
Djenang Djagung (Malang),DJADJANAN
Djenang Djagung (Palembang),DJADJANAN
Djenang Gaplek,DJADJANAN
Djenang Katjang Hidjau,DJADJANAN
Djenang Pelok,DJADJANAN
Djenang Tawonan,DJADJANAN
Djenang Upilh,DJADJANAN
Djenggoro,DJADJANAN
Djengki,DJADJANAN
Djipang,DJADJANAN
Djongkong,DJADJANAN
Djongkong Sela,DJADJANAN
Djubleg,DJADJANAN
Dodol Balingbing,DJADJANAN
Dodol Durian,DJADJANAN
Dodol Katjang Idjo,DJADJANAN
Sambal Rusip,SAMBAL SAMBALAN
Sambal Sari Kering,SAMBAL SAMBALAN
Sambal Sate Ajam,SAMBAL SAMBALAN
Sambal Tautjo,SAMBAL SAMBALAN
Sambal Tappa,SAMBAL SAMBALAN
Sambal Tempe Bosok,SAMBAL SAMBALAN
Sambal Tempojak,SAMBAL SAMBALAN
Sambal Tepung,SAMBAL SAMBALAN
Sambal Teri,SAMBAL SAMBALAN
Sambal Teri Goreng,SAMBAL SAMBALAN
Sambal Terong,SAMBAL SAMBALAN
Sambal Terong Goreng,SAMBAL SAMBALAN
Sambal Tjabuk,SAMBAL SAMBALAN
Sambal Tjangkediro,SAMBAL SAMBALAN
Sambal Tahu Tomat,SAMBAL SAMBALAN
Sambal Tomat Goreng,SAMBAL SAMBALAN
Sambal Udang,SAMBAL SAMBALAN
Sambal Widjen,SAMBAL SAMBALAN
Abug Matjan Ubi Kaju,DJADJANAN
Agar² Sarikaja,DJADJANAN
Ajung Ajung,DJADJANAN
Ambal,DJADJANAN
Amparan Tatak Sagu,DJADJANAN
Ampiang Badadiah,DJADJANAN
Amprut,DJADJANAN
Angleng,DJADJANAN
Antakusuma,DJADJANAN
Apem,DJADJANAN
Apem Djagung,DJADJANAN
Apem Dumbo,DJADJANAN
Apem Madura,DJADJANAN
Apem Paranggi,DJADJANAN
Apem Parsanga,DJADJANAN
Apem Singkong,DJADJANAN
Arerut Tjepot,DJADJANAN
Aria Kusuma,DJADJANAN
Asmorodono,DJADJANAN
Awug Awug,DJADJANAN
Awug Awug Aron,DJADJANAN
Awug Awug Djagung,DJADJANAN
Awug Awug Mutiara,DJADJANAN
Babai Maring,DJADJANAN
Babingka,DJADJANAN
Baeba,DJADJANAN
Bagea,DJADJANAN
Bakmi Kaldu,DJADJANAN
Balung Kuwuk,DJADJANAN
Bambalungan Ajam,DJADJANAN
Bangket Bekatul,DJADJANAN
Bantal Ketan,DJADJANAN
Baro Baro,DJADJANAN
Barongko,DJADJANAN
Barubik,DJADJANAN
Batun Bedil,DJADJANAN
Begine,DJADJANAN
Bendu,DJADJANAN
Bengawan Solo,DJADJANAN
Berdapan,DJADJANAN
Bidji Bangkinang,DJADJANAN
Bidji Salak,DJADJANAN
Bika Ambon,DJADJANAN
Bika Djawa Pona,DJADJANAN
Bika Putih,DJADJANAN
Biluluhe,DJADJANAN
Bilus,DJADJANAN
Blanggem,DJADJANAN
Bola Anget,DJADJANAN
Bola Bola,DJADJANAN
Bola Bola Bandeng,DJADJANAN
Bola Bola Nenas,DJADJANAN
Bola Bola Tahu,DJADJANAN
Bolang Baling,DJADJANAN
Bolu,DJADJANAN
Bolu Brai,DJADJANAN
Bolu Gulung,DJADJANAN
Bolu Kodja,DJADJANAN
Bolu Kodja Lunak,DJADJANAN
Bolu Koja,DJADJANAN
Perkedel Panggang,LAUK PAUK BAKAR
Piong Duku Bai,LAUK PAUK BAKAR
Piong Duku Manuk,LAUK PAUK BAKAR
Sate Ajam,LAUK PAUK BAKAR
Sate Ajam Rendang,LAUK PAUK BAKAR
Sate Asam Manis,LAUK PAUK BAKAR
Sate Babi,LAUK PAUK BAKAR
Sate Bandeng,LAUK PAUK BAKAR
Sate Bumbu Dendeng,LAUK PAUK BAKAR
Sate Gapit,LAUK PAUK BAKAR
Sate Gurih,LAUK PAUK BAKAR
Sate Kerang,LAUK PAUK BAKAR
Sate Lidah,LAUK PAUK BAKAR
Sate Lilit,LAUK PAUK BAKAR
Sate Manis,LAUK PAUK BAKAR
Sate Manis Tempe,LAUK PAUK BAKAR
Sate Madura,LAUK PAUK BAKAR
Sate Memangut,LAUK PAUK BAKAR
Sate Padang,LAUK PAUK BAKAR
Sate Penju,LAUK PAUK BAKAR
Sate Prentul,LAUK PAUK BAKAR
Sate Pusut,LAUK PAUK BAKAR
Sate Tjirebon,LAUK PAUK BAKAR
Sate Udang,LAUK PAUK BAKAR
Sate Udang Menado,LAUK PAUK BAKAR
Sate Usus,LAUK PAUK BAKAR
Taoge Goreng,LAUK PAUK BAKAR
Timbung,LAUK PAUK BAKAR
Tufi,LAUK PAUK BAKAR
Udang Gapit,LAUK PAUK BAKAR
Urip Urip,LAUK PAUK BAKAR
Asam Kemamah (Sambal Ikan Kaju),SAMBAL SAMBALAN
Luat,SAMBAL SAMBALAN
Sambal Paluik,SAMBAL SAMBALAN
Sambal Badjak,SAMBAL SAMBALAN
Sambal Badjak Daging,SAMBAL SAMBALAN
Sambal Bangket,SAMBAL SAMBALAN
Sambal Banteng,SAMBAL SAMBALAN
Sambal Bantji,SAMBAL SAMBALAN
Sambal Batjang,SAMBAL SAMBALAN
Sambal Belimbing,SAMBAL SAMBALAN
Sambal Belondo,SAMBAL SAMBALAN
Sambal Biasa,SAMBAL SAMBALAN
Sambal Bubuk Kedele,SAMBAL SAMBALAN
Sambal Bumbu Megono,SAMBAL SAMBALAN
Sambal Buntil,SAMBAL SAMBALAN
Sambal Daun Pagagah,SAMBAL SAMBALAN
Sambal Djagung,SAMBAL SAMBALAN
Sambal Djenggot,SAMBAL SAMBALAN
Sambal Gado Gado,SAMBAL SAMBALAN
Sambal Gandaria,SAMBAL SAMBALAN
Sambal Gandaria dengan Ebi,SAMBAL SAMBALAN
Sambal Gude,SAMBAL SAMBALAN
Sambal Ikan Kering,SAMBAL SAMBALAN
Sambal Katjang,SAMBAL SAMBALAN
Sambal Katjang Tjuka,SAMBAL SAMBALAN
Sambal Kelapa,SAMBAL SAMBALAN
Sambal Keluwak,SAMBAL SAMBALAN
Sambal Kemangi,SAMBAL SAMBALAN
Sambal Kemiri,SAMBAL SAMBALAN
Sambal Kentjur Lalab,SAMBAL SAMBALAN
Ketimun,SAMBAL SAMBALAN
Sambal Kento,SAMBAL SAMBALAN
Sambal Ketjambah,SAMBAL SAMBALAN
Sambal Lado Hidjau,SAMBAL SAMBALAN
Sambal Lado Uap,SAMBAL SAMBALAN
Sambal Lingkung,SAMBAL SAMBALAN
Sambal Minjak,SAMBAL SAMBALAN
Sambal Mustafa,SAMBAL SAMBALAN
Sambal Nenas,SAMBAL SAMBALAN
Sambal Ontjom,SAMBAL SAMBALAN
Sambal Parado,SAMBAL SAMBALAN
Sambal Penganten,SAMBAL SAMBALAN
Sambal Padeh,SAMBAL SAMBALAN
Sambal Petai,SAMBAL SAMBALAN
Sambal Petjel,SAMBAL SAMBALAN
Sambal Pletjong,SAMBAL SAMBALAN
Dodol Katjang Merah,DJADJANAN
Dodol Kentang,DJADJANAN
Dodol Manalika,DJADJANAN
Dodol Nangka,DJADJANAN
Dodol Pelok,DJADJANAN
Dodol Pisang,DJADJANAN
Dodol Tape,DJADJANAN
Dodol Tjereme,DJADJANAN
Dodoro Dale,DJADJANAN
Doko Doko Benni,DJADJANAN
Donat Nagri,DJADJANAN
Dugo,DJADJANAN
Dumbeg,DJADJANAN
Dumpi Kebo,DJADJANAN
Ekor Kuning dalam Kolam,DJADJANAN
Empek Empek Dos,DJADJANAN
Empek Empek Lenggang,DJADJANAN
Empek Empek Model,DJADJANAN
Empek Empek Panggang,DJADJANAN
Empek Empek Telur (Kapal Selam),DJADJANAN
Empek Empek Djagung,DJADJANAN
Engkat Ketan,DJADJANAN
Engkok Bandar,DJADJANAN
Eurimoo,DJADJANAN
Gabuk Ampal,DJADJANAN
Gablok,DJADJANAN
Gado Gado,DJADJANAN
Gado Gado Mentah,DJADJANAN
Gagadoh Tiwadak,DJADJANAN
Gagaok,DJADJANAN
Gandos,DJADJANAN
Ganefo Ketela,DJADJANAN
Garbuk,DJADJANAN
Gatot,DJADJANAN
Gatot Gadung,DJADJANAN
Geblek,DJADJANAN
Gegado,DJADJANAN
Gegodoh,DJADJANAN
Gelamai,DJADJANAN
Gelombang Samudra,DJADJANAN
Gelung Teleng,DJADJANAN
Gemblep,DJADJANAN
Gemblong Ireng,DJADJANAN
Gendar,DJADJANAN
Geplak Djahe,DJADJANAN
Geplak Duren,DJADJANAN
Geplak Mrambus,DJADJANAN
Geplak Nangka,DJADJANAN
Geplak Panili,DJADJANAN
Geplak Sirsak,DJADJANAN
Getas,DJADJANAN
Getuk,DJADJANAN
Getuk Guling,DJADJANAN
Getuk Lindri,DJADJANAN
Getuk Talas,DJADJANAN
Gohu,DJADJANAN
Golut,DJADJANAN
Goreng Nangka,DJADJANAN
Granat Muntjrat,DJADJANAN
Grawul,DJADJANAN
Growol,DJADJANAN
Gudir,DJADJANAN
Gulampo,DJADJANAN
Hagau,DJADJANAN
Harder Wiener,DJADJANAN
Havermout Koekjes,DJADJANAN
Hunkue,DJADJANAN
Intalu Karuang,DJADJANAN
Iwel,DJADJANAN
Iwel Iwel,DJADJANAN
Janhagel,DJADJANAN
Kaastaart,DJADJANAN
Kaju Manis,DJADJANAN
Kakitjak Budjang,DJADJANAN
Kakitjak Tjakur,DJADJANAN
Kaliadren,DJADJANAN
Kalo Kalo,DJADJANAN
Kalomben,DJADJANAN
Kambewe,DJADJANAN
Pepes Ontjom,LAUK PAUK BASAH TIDAK BERKUAH
Pepes Peda,LAUK PAUK BASAH TIDAK BERKUAH
Pepes Peda Bumbu Kelapa,LAUK PAUK BASAH TIDAK BERKUAH
Pepes Peda Daun Singkong,LAUK PAUK BASAH TIDAK BERKUAH
Pepes Tahu,LAUK PAUK BASAH TIDAK BERKUAH
Pepes Telur Ikan,LAUK PAUK BASAH TIDAK BERKUAH
Pepes Tawon,LAUK PAUK BASAH TIDAK BERKUAH
Pepes Tempe,LAUK PAUK BASAH TIDAK BERKUAH
Pepes Tjendawan,LAUK PAUK BASAH TIDAK BERKUAH
Pepes Udang,LAUK PAUK BASAH TIDAK BERKUAH
Pesmol Gurami,LAUK PAUK BASAH TIDAK BERKUAH
Pesmol Ikan Laut,LAUK PAUK BASAH TIDAK BERKUAH
Perkedel Kukus,LAUK PAUK BASAH TIDAK BERKUAH
Petis Bumbon,LAUK PAUK BASAH TIDAK BERKUAH
Petjel,LAUK PAUK BASAH TIDAK BERKUAH
Petjel Ajam,LAUK PAUK BASAH TIDAK BERKUAH
Petjel Bunga Turi,LAUK PAUK BASAH TIDAK BERKUAH
Petjel Djantung Pisang,LAUK PAUK BASAH TIDAK BERKUAH
Petjel Panggang Ajam,LAUK PAUK BASAH TIDAK BERKUAH
Petjel Panggang Ikan,LAUK PAUK BASAH TIDAK BERKUAH
Petjel Terong,LAUK PAUK BASAH TIDAK BERKUAH
Petjel Tumpang,LAUK PAUK BASAH TIDAK BERKUAH
Petola Daging,LAUK PAUK BASAH TIDAK BERKUAH
Pilitode,LAUK PAUK BASAH TIDAK BERKUAH
Pindang,LAUK PAUK BASAH TIDAK BERKUAH
Pindang Bandeng,LAUK PAUK BASAH TIDAK BERKUAH
Pindang Ikan Tandjan,LAUK PAUK BASAH TIDAK BERKUAH
Pindang Ketjap,LAUK PAUK BASAH TIDAK BERKUAH
Pindang Kuning Ikan Balang,LAUK PAUK BASAH TIDAK BERKUAH
Pindang Satria,LAUK PAUK BASAH TIDAK BERKUAH
Pindang Telur,LAUK PAUK BASAH TIDAK BERKUAH
Pindang Tempe Bosok,LAUK PAUK BASAH TIDAK BERKUAH
Pu Jong Hay,LAUK PAUK BASAH TIDAK BERKUAH
Pu Jong Hay Djagung Muda,LAUK PAUK BASAH TIDAK BERKUAH
Rabek,LAUK PAUK BASAH TIDAK BERKUAH
Radjang Ajam,LAUK PAUK BASAH TIDAK BERKUAH
Ragout Dalam Kerang,LAUK PAUK BASAH TIDAK BERKUAH
Ritja Ritja,LAUK PAUK BASAH TIDAK BERKUAH
Ritja Ritja Ajam,LAUK PAUK BASAH TIDAK BERKUAH
Ritja Ritja Ikan,LAUK PAUK BASAH TIDAK BERKUAH
Ritja Rodoh,LAUK PAUK BASAH TIDAK BERKUAH
Saba' Au,LAUK PAUK BASAH TIDAK BERKUAH
Sabrah Au,LAUK PAUK BASAH TIDAK BERKUAH
Sangsang,LAUK PAUK BASAH TIDAK BERKUAH
Sasate,LAUK PAUK BASAH TIDAK BERKUAH
Selada Ikan Laut,LAUK PAUK BASAH TIDAK BERKUAH
Selada Itali,LAUK PAUK BASAH TIDAK BERKUAH
Selada Tjampur,LAUK PAUK BASAH TIDAK BERKUAH
Selada Tomat,LAUK PAUK BASAH TIDAK BERKUAH
Semaji,LAUK PAUK BASAH TIDAK BERKUAH
Sengkuang,LAUK PAUK BASAH TIDAK BERKUAH
Sepat,LAUK PAUK BASAH TIDAK BERKUAH
Serapah Daging,LAUK PAUK BASAH TIDAK BERKUAH
Serombotan,LAUK PAUK BASAH TIDAK BERKUAH
Seruwit,LAUK PAUK BASAH TIDAK BERKUAH
Setam Tenerem,LAUK PAUK BASAH TIDAK BERKUAH
Setup Buntjis,LAUK PAUK BASAH TIDAK BERKUAH
Setup Buntjis Bulat,LAUK PAUK BASAH TIDAK BERKUAH
Setup Djagung Muda,LAUK PAUK BASAH TIDAK BERKUAH
Setup Gurami,LAUK PAUK BASAH TIDAK BERKUAH
Setup Ikan,LAUK PAUK BASAH TIDAK BERKUAH
Setup Tomat dan Prei,LAUK PAUK BASAH TIDAK BERKUAH
Sinalenggam,LAUK PAUK BASAH TIDAK BERKUAH
Singgang Ajam,LAUK PAUK BASAH TIDAK BERKUAH
Siram Lombok,LAUK PAUK BASAH TIDAK BERKUAH
Tahu Bakso,LAUK PAUK BASAH TIDAK BERKUAH
Tahu Bumbu Bali,LAUK PAUK BASAH TIDAK BERKUAH
Tambusan,LAUK PAUK BASAH TIDAK BERKUAH
Telur Bumbu Bali,LAUK PAUK BASAH TIDAK BERKUAH
Telur Gambuang,LAUK PAUK BASAH TIDAK BERKUAH
Telur Petis,LAUK PAUK BASAH TIDAK BERKUAH
Terantjam,LAUK PAUK BASAH TIDAK BERKUAH
Terantjam Bunga Pisang,LAUK PAUK BASAH TIDAK BERKUAH
Terantjam Ikan Panggang,LAUK PAUK BASAH TIDAK BERKUAH
Terantjam Ketimun dan Batang Kuntji,LAUK PAUK BASAH TIDAK BERKUAH
Terantjam Mangga Muda,LAUK PAUK BASAH TIDAK BERKUAH
Terantjam Petai Tjina,LAUK PAUK BASAH TIDAK BERKUAH
Terantjam Seledri Taoge Kemangi,LAUK PAUK BASAH TIDAK BERKUAH
